
"Kommune","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Norddjurs",1,3,2,8,3,3,1,3,2,3,0,5,0,1,6,0,1,1
"Odder",1,1,2,0,2,1,2,0,1,3,1,1,0,1,5,2,1,1
"Randers",11,11,9,16,3,6,10,10,6,2,10,9,15,7,12,10,9,9
"Samsø",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
"Silkeborg",6,4,5,9,5,1,12,2,6,9,10,2,2,5,6,6,6,1
"Skanderborg",8,5,5,6,0,1,1,3,5,4,3,1,2,0,2,3,2,2
"Syddjurs",4,6,4,7,6,1,2,5,6,3,8,6,5,4,6,10,5,7
"Aarhus",111,150,145,138,134,118,153,158,152,156,200,185,181,108,107,171,142,148
"Herning",8,17,5,14,8,9,7,4,13,8,7,11,11,5,6,7,7,10
"Holstebro",3,2,0,1,3,5,1,2,6,5,2,6,2,3,1,2,1,0
"Ikast-Brande",1,3,1,6,7,10,3,4,1,3,3,8,14,4,2,3,2,1
"Lemvig",2,3,5,1,2,2,5,4,4,4,5,4,3,2,1,0,1,2
"Ringkøbing-Skjern",1,3,5,5,2,1,0,2,2,9,2,10,1,5,4,1,6,2
"Skive",3,3,0,3,3,4,4,1,2,2,2,2,2,0,1,2,2,2
"Struer",0,4,0,0,0,2,2,3,2,0,1,1,0,1,0,0,1,0
"Viborg",2,5,3,4,1,4,9,11,4,13,8,13,9,7,6,3,6,5
"Brønderslev",1,4,2,1,4,2,3,2,2,0,4,2,0,0,2,2,3,1
"Frederikshavn",6,10,6,5,3,2,10,8,11,3,8,3,3,2,3,3,4,3
"Hjørring",3,1,3,3,4,9,5,6,7,2,4,6,4,5,6,4,10,8
"Jammerbugt",0,2,2,0,0,2,2,0,0,1,1,0,0,1,2,1,1,1
"Læsø",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Mariagerfjord",0,2,2,1,3,1,1,0,3,1,1,3,4,2,1,2,0,2
"Morsø",0,1,0,3,0,1,0,0,0,1,1,0,0,2,1,0,0,1
"Rebild",0,3,2,1,1,5,0,0,1,0,0,2,0,0,0,1,2,0
"Thisted",1,3,1,4,0,1,0,1,0,0,0,0,2,2,1,2,0,2
"Vesthimmerlands",0,1,0,0,2,1,2,1,2,1,1,0,1,0,4,0,1,0
"Aalborg",41,44,58,46,49,49,46,31,49,28,33,22,23,41,36,32,41,36

"The 11. May 2016 the data is revised due to previous published data. "

